codepoint,replacement,status,rule_type,notes_safe
U+F1B2,ต้,VERIFIED,SIMPLE,human-reviewed
U+F1B3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1B4,ท้,VERIFIED,SIMPLE,human-reviewed
U+F1B6,น้,VERIFIED,SIMPLE,human-reviewed
U+F1B7,บ้,VERIFIED,SIMPLE,human-reviewed
U+F1B8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1B9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1BA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1BB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1BC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1BE,ม้,VERIFIED,SIMPLE,human-reviewed
U+F1BF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1C0,ร้,VERIFIED,SIMPLE,human-reviewed
U+F1C2,ล้,VERIFIED,SIMPLE,human-reviewed
U+F1C4,ว้,VERIFIED,SIMPLE,human-reviewed
U+F1C7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1C8,ห้,VERIFIED,SIMPLE,human-reviewed
U+F1CA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1CB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1CC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1D3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1E0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1E6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1EE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F1F8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F201,,UNMAPPED,SIMPLE,unmapped; human review required
U+F214,,UNMAPPED,SIMPLE,unmapped; human review required
U+F226,,UNMAPPED,SIMPLE,unmapped; human review required
U+F228,,UNMAPPED,SIMPLE,unmapped; human review required
U+F229,,UNMAPPED,SIMPLE,unmapped; human review required
U+F22B,ค์,VERIFIED,SIMPLE,human-reviewed
U+F22F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F232,,UNMAPPED,SIMPLE,unmapped; human review required
U+F234,,UNMAPPED,SIMPLE,unmapped; human review required
U+F237,,UNMAPPED,SIMPLE,unmapped; human review required
U+F238,,UNMAPPED,SIMPLE,unmapped; human review required
U+F23A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F23B,ด์,VERIFIED,SIMPLE,human-reviewed
U+F23C,ต์,VERIFIED,SIMPLE,human-reviewed
U+F23D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F23E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F23F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F240,,UNMAPPED,SIMPLE,unmapped; human review required
U+F242,,UNMAPPED,SIMPLE,unmapped; human review required
U+F246,,UNMAPPED,SIMPLE,unmapped; human review required
